root@ebhq-gridcenter# df -h
Filesystem              Size  Used  Avail  Use%
/dev/grid/node-x0-y0     88T   67T    21T   76%
/dev/grid/node-x0-y1     85T   73T    12T   85%
/dev/grid/node-x0-y2     94T   73T    21T   77%
/dev/grid/node-x0-y3     91T   72T    19T   79%
/dev/grid/node-x1-y0     89T   64T    25T   71%
/dev/grid/node-x1-y1     86T   70T    16T   81%
/dev/grid/node-x1-y2     87T   73T    14T   83%
/dev/grid/node-x1-y3     90T   73T    17T   81%
/dev/grid/node-x2-y0     85T   68T    17T   80%
/dev/grid/node-x2-y1    870T  640T   230T   73%
/dev/grid/node-x2-y2     92T   69T    23T   75%
/dev/grid/node-x2-y3     87T   72T    15T   82%
/dev/grid/node-x3-y0     93T   71T    22T   76%
/dev/grid/node-x3-y1    940T  660T   280T   70%
/dev/grid/node-x3-y2     94T   67T    27T   71%
/dev/grid/node-x3-y3     87T   70T    17T   80%
/dev/grid/node-x4-y0     92T   69T    23T   75%
/dev/grid/node-x4-y1    850T  680T   170T   80%
/dev/grid/node-x4-y2     89T   72T    17T   80%
/dev/grid/node-x4-y3     87T   64T    23T   73%
/dev/grid/node-x5-y0     88T   68T    20T   77%
/dev/grid/node-x5-y1    900T  700T   200T   77%
/dev/grid/node-x5-y2     89T    0T    89T    0%
/dev/grid/node-x5-y3     94T   67T    27T   71%
/dev/grid/node-x6-y0     88T   68T    20T   77%
/dev/grid/node-x6-y1    930T  680T   250T   73%
/dev/grid/node-x6-y2     87T   72T    15T   82%
/dev/grid/node-x6-y3     90T   65T    25T   72%
/dev/grid/node-x7-y0     85T   64T    21T   75%
/dev/grid/node-x7-y1    900T  650T   250T   72%
/dev/grid/node-x7-y2     90T   69T    21T   76%
/dev/grid/node-x7-y3     94T   64T    30T   68%
/dev/grid/node-x8-y0     87T   66T    21T   75%
/dev/grid/node-x8-y1    930T  730T   200T   78%
/dev/grid/node-x8-y2     91T   66T    25T   72%
/dev/grid/node-x8-y3     93T   64T    29T   68%
/dev/grid/node-x9-y0     91T   73T    18T   80%
/dev/grid/node-x9-y1    920T  720T   200T   78%
/dev/grid/node-x9-y2     92T   71T    21T   77%
/dev/grid/node-x9-y3     85T   65T    20T   76%
/dev/grid/node-x10-y0    91T   71T    20T   78%
/dev/grid/node-x10-y1   860T  680T   180T   79%
/dev/grid/node-x10-y2    94T   68T    26T   72%
/dev/grid/node-x10-y3    90T   72T    18T   80%
/dev/grid/node-x11-y0    91T   65T    26T   71%
/dev/grid/node-x11-y1    88T   69T    19T   78%
/dev/grid/node-x11-y2    88T   64T    24T   72%
/dev/grid/node-x11-y3    91T   72T    19T   79%
